chr_name	hg38_start	hg38_end	gene	region	regulatory_comment	name
chr8	127736106	127737181	MYC	TSS	active_promoter	MYC_TSS
chr20	47499867	47509355	NCOA3	TSS	active_promoter	NCOA3_TSS
chr9	37021326	37043184	PAX5	TSS-2	active_promoter-strong_enhancer	PAX5_TSS-2
chr6	37170328	37172028	PIM1	TSS	active_promoter	PIM1_TSS
chrX	48917479	48918978	PIM2	TSS	active_promoter	PIM2_TSS
chr19	10229466	10231088	S1PR2	TSS	active_promoter	S1PR2_TSS
chr14	94474250	94476212	SERPINA9	TSS	NA	SERPINA9_TSS
chr3	187063279	187067028	ST6GAL1	intronic-2	strong_enhancer	ST6GAL1_intronic-2
chr3	187019694	187023667	ST6GAL1	TSS-2	strong_enhancer	ST6GAL1_TSS-2
chrX	12975189	12976392	TMSB4X	intronic	active_promoter	TMSB4X_intronic
chr9	37276498	37342194	ZCCHC7	intronic	NA	ZCCHC7_intronic
chr14	68791131	68793022	ZFP36L1	TSS	active_promoter	ZFP36L1_TSS
chr4	40191485	40202611	RHOH	TSS	active_promoter	RHOH_TSS
chr19	19168826	19170632	MEF2B	TSS	active_promoter	MEF2B_TSS
chr6	90271315	90306415	BACH2	TSS	NA	BACH2_TSS
chr13	46383143	46389207	C13orf18	TSS	active_promoter	C13orf18_TSS
chr5	159073468	159105761	EBF1	TSS	active_promoter	EBF1_TSS
chr22	22887374	22889862	IGLL5	TSS	NA	IGLL5_TSS
chr15	59366792	59378953	MYO1E	TSS	NA	MYO1E_TSS
chr3	16504926	16515279	RFTN1	TSS	active_promoter-strong_enhancer	RFTN1_TSS
chr14	95713198	95714029	TCL1A	TSS	active_promoter	TCL1A_TSS
chr2	60546654	60556351	BCL11A	TSS	active_promoter	BCL11A_TSS
chr2	111117277	111124597	BCL2L11	TSS	active_promoter	BCL2L11_TSS
chr11	35135222	35142701	CD44	TSS	active_promoter	CD44_TSS
chr5	150411414	150412786	CD74	TSS	active_promoter	CD74_TSS
chr9	37423013	37425282	GRHPR	TSS	active_promoter	GRHPR_TSS
chr16	27311574	27318102	IL4R	TSS	active_promoter	IL4R_TSS
chr5	132488241	132490766	IRF1	TSS	active_promoter	IRF1_TSS
chr1	226732862	226740184	ITPKB	TSS	active_promoter	ITPKB_TSS
chr1	226677156	226685751	ITPKB	intronic	weak_enhancer	ITPKB_intronic
chr3	183551572	183556351	KLHL6	TSS	active_promoter-strong_enhancer	KLHL6_TSS
chr3	188053890	188265064	LPP	TSS-1	NA	LPP_TSS-1
chr3	188659390	188773460	LPP	intronic	NA	LPP_intronic
chr12	25051111	25060635	LRMP	TSS	active_promoter	LRMP_TSS
chr5	88835392	88910803	MEF2C	TSS	active_promoter	MEF2C_TSS
chr21	25562060	25565339	MIR155HG	TSS	active_promoter	MIR155HG_TSS
chr11	60455912	60457837	MS4A1	TSS	active_promoter	MS4A1_TSS
chr17	3694322	3696278	P2RX5	TSS	active_promoter	P2RX5_TSS
chr11	111377353	111379499	POU2AF1	TSS	active_promoter	POU2AF1_TSS
chr20	50503945	50523940	PTPN1	TSS	active_promoter	PTPN1_TSS
chr17	77428652	77475389	SEPT9	intronic	active_promoter	SEPT9_intronic
chr6	134166822	134178721	SGK1	TSS-1	active_promoter	SGK1_TSS-1
